VIN_IDENTIFIER,AdditionalErrorText,AirBagLocFront,DisplacementCC,DisplacementCI,DisplacementL,Doors,EngineConfiguration,EngineCylinders,EngineHP,EngineHP_to,EngineManufacturer,EngineModel,Make,Manufacturer,Model,ModelYear,PlantCity,PlantCompanyName,PlantCountry,PlantState,PossibleValues,Series,SuggestedVIN,TransmissionSpeeds,TransmissionStyle,Trim,VIN
JT8JZ31C0P0011187,,1st Row (Driver and Passenger),2997,182.89,3,2,In-Line,6,225,227,Toyota,2JZ-GE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1993,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,,,,,300,JT8JZ31C0P0011187
JT8JZ31C4S0027451,,1st Row (Driver and Passenger),2997,182.89,3,2,In-Line,6,225,227,Toyota,2JZ-GE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1995,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,JZZ31L,,,,300,JT8JZ31C4S0027451
JT8JZ31C9P016887,,1st Row (Driver and Passenger),2997,182.89,3,2,In-Line,6,225,227,Toyota,2JZ-GE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1993,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,,,,,300,JT8JZ31C9P016887
JT8UZ30C9P0032506,,1st Row (Driver and Passenger),3969,242.2,4,2,V-Shaped,8,250,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1993,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,,,4,Automatic,400,JT8UZ30C9P0032506
JT8UZ30C8S0046485,,1st Row (Driver and Passenger),3969,242.2,3,2,In-Line,6,250,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1995,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,UZZ30L,,,,400,JT8UZ30C8S0046485
JT8UZ30C2P0033545,,1st Row (Driver and Passenger),3969,242.2,4,2,V-Shaped,8,250,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1993,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,,,4,Automatic,400,JT8UZ30C2P0033545
JT8CH32Y7T0050536,,1st Row (Driver and Passenger),3969,242.2,4,2,V-Shaped,8,260,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1996,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,UZZ30L,,,,400,JT8CH32Y7T0050536
JT8JZ31C2N0008126,,Driver Seat Only,2997,182.89,3,2,In-Line,6,217,227,Toyota,2JZ-GE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1992,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,,,,,300,JT8JZ31C2N0008126
JT8CD32Z8X1005237,,1st Row (Driver and Passenger),2997,182.89,3,2,In-Line,6,225,227,Toyota,2JZ-GE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1999,SUSONO,"Higashi Fuji Plant, Kanto Auto Works, LTD.",JAPAN,SHIZUOKA,,JZZ31L,,,,300,JT8CD32Z8X1005237
JY8JZ31C4S0020550,"The Model Year decoded for this VIN may be incorrect. If you know the Model year, please enter it and decode again to get more accurate information.",,,,,,,,,,,,,,,,,,,,,,,,,,JY8JZ31C4S0020550
JT8UZ30CXP0033292,,1st Row (Driver and Passenger),3969,242.2,4,2,V-Shaped,8,250,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1993,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,,,4,Automatic,400,JT8UZ30CXP0033292
JT8UZ30C3N0015732,,Driver Seat Only,3969,242.2,4,2,V-Shaped,8,250,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1992,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,,,4,Automatic,400,JT8UZ30C3N0015732
JT8CH32Y6V1000014,,1st Row (Driver and Passenger),3969,242.2,4,2,V-Shaped,8,290,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1997,SUSONO,"Higashi Fuji Plant, Kanto Auto Works, LTD.",JAPAN,SHIZUOKA,,UZZ30L,,,,400,JT8CH32Y6V1000014
JT8CH32Y5W1001530,,1st Row (Driver and Passenger),3969,242.2,4,2,V-Shaped,8,290,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1998,SUSONO,"Higashi Fuji Plant, Kanto Auto Works, LTD.",JAPAN,SHIZUOKA,,UZZ30L,,,,400,JT8CH32Y5W1001530
JT8CD32Z7Y1007076,,1st Row (Driver and Passenger),2997,182.89,3,2,In-Line,6,225,227,Toyota,2JZ-GE,LEXUS,TOYOTA MOTOR CORPORATION,SC,2000,SUSONO,Toyota Motor Corporation - Tahara Plant,JAPAN,SHIZUOKA,,JZZ31L,,,,300,JT8CD32Z7Y1007076
JT8UZ30C9S0045846,,1st Row (Driver and Passenger),3969,242.2,3,2,In-Line,6,250,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1995,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,UZZ30L,,,,400,JT8UZ30C9S0045846
